Правовой результат;+7–911–238–98–62;Санкт-Петербург, Большая Пороховская, 25;pravovojrezultat.ru;info@pravovojrezultat.ru
Парето, ООО;+7–921–994–25–05;БЦ Любавич,Санкт-Петербург, Большой Сампсониевский проспект, 60 лит У;pareto-group.com;
Адвокатский кабинет Хасанов М.Ш.;+7 (812) 906–93–00;БЦ Большой 100,Санкт-Петербург, Большой проспект П.С., 100;advokat78.ru;
РегТакси;+7 (812) 385–63–88, +7 (812) 385–75–71;Санкт-Петербург, Художников проспект, 9 к1;regtaxi.spb.ru;
Горичев и партнеры;+7 (812) 652–00–00;Санкт-Петербург, 11-я линия В.О., 32/44;www.advokat-gorichev.ru;
ЮрБизнесКонсалт, ООО;+7 (812) 493–35–17, +7 (812) 493–35–16;БЦ Оптима,Санкт-Петербург, Смоленская, 9;www.jbk-konsalt.ru;
Адвокатский кабинет Пузырева С.С.;+7–921–445–55–38;Санкт-Петербург, Ефимова, 4;pravo78reg.ru;
Адвокат Содель В.М.;+7 (812) 745–83–66, +7–905–234–40–62;Санкт-Петербург, Партизана Германа, 5;;
Бизнес сопровождение, ООО;+7–911–990–82–28, +7–921–997–26–04;БЦ Долина Роз,Санкт-Петербург, Аккуратова, 13;;
Нартекс, ООО;+7 (812) 275–69–94, +7 (812) 577–45–20, +7 (812) 577–45–21;Санкт-Петербург, Суворовский проспект, 44;www.narteks-uf.ru;
Bridge Consulting Group;+7 (812) 980–32–31, +7 (812) 989–02–10;ДЦ Оптима,Санкт-Петербург, Торжковская, 5;bridgeconsulting.ru;
Горизонт, ООО;+7 (812) 670–09–93, 8–800–550–09–93;Центр деловых услуг Чернышевского-18,Санкт-Петербург, Чернышевского проспект, 18;rbgorizont.com;
ЮрСервис;+7 (812) 333–24–33, +7 (812) 333–44–10;Санкт-Петербург, Садовая, 53;www.adresfirm.ru;
КАДОС;+7 (812) 702–66–75, +7 (812) 981–66–75;БЦ Румб, Санкт-Петербург, Зайцева, 41;www.kadoc.ru;
АВЕСТА эдвайс, ООО;+7 (812) 642–62–00;Санкт-Петербург, Кондратьевский проспект, 72а лит Е;www.all-license.ru;
ЮРКОМ, ООО;+7 (812) 498–86–23, +7 (812) 918–66–94;Санкт-Петербург, Воскова, 7;www.yurkom.spb.ru;
Возврат Авто, ООО;+7–921–379–97–61, +7 (812) 717–15–10, +7 (812) 274–25–35;Санкт-Петербург, Исполкомская, 10;www.avto-vozvrat.com;
Центр оценки и экспертизы, ООО;+7 (812) 642–73–52, +7 (812) 987–21–51;д. Кудрово, Центральная, 54 к2;www.ekspertizaspb.ru;
Штат сити;+7 (812) 930–88–35, +7 (812) 938–85–44, +7 (812) 915–38–68;Санкт-Петербург, Моисеенко, 22 лит Б;shtatcity.ru;
Бизнес Диалог;8–800–5000–592, +7 (812) 448–64–44;Санкт-Петербург, Московский проспект, 103 к3;www.bd-spb.ru;
Форвард;+7–905–257–15–52, +7–953–178–23–20;Санкт-Петербург, Санкт-Петербургский проспект, 60;forward.spb.ru;
Астет, ООО;+7 (812) 774–83–41, +7 (812) 774–36–27;Санкт-Петербург, Фучика, 4 лит Б;www.astet.spb.ru;
Адвокатская консультация №16;+7 (812) 408–26–57;Санкт-Петербург, Московский проспект, 127;;
Полюс;+7 (812) 579–02–10;Санкт-Петербург, Моховая, 26;;
Институт Независимых Экспертов и Консультантов, ООО;+7–921–941–05–58;БЦ Алмаз,Санкт-Петербург, Уральская, 13 лит К;;
Адвокатские кабинеты Трункова М.В. и Голубева Е.А.;+7 (812) 903–05–97;ТРК Балканский 1,Санкт-Петербург, Балканская площадь, 5 лит И;www.advokat-nw.spb.ru;
Фролов А.В., ИП;+7 (812) 241–12–25;Санкт-Петербург, Уткин проспект, 15 лит Е;ипфролов.рф;
Астарта, ООО;+7 (812) 923–14–62, +7 (812) 969–89–78;Санкт-Петербург, Можайская, 18;astartaspb.ru;
Локус станди;+7 (812) 903–29–92, +7 (812) 349–97–24;ТЦ Космос,Санкт-Петербург, Авиаконструкторов проспект, 5 к2;;
Digital agency iSPi;+7 (812) 313–29–13;Деловой комплекс Монетная,Санкт-Петербург, Большая Монетная, 16;www.ispi.ru;
Токсово;+7 (812) 935–46–12;пгт Токсово, Привокзальная площадь, 2;www.vtoksovo.com;
Адвокатский кабинет Суховерхова И.И.;+7–999–525–81–00;Санкт-Петербург, Малая Морская, 9;zakon-78.ru;
ЦВД Групп;+7–921–905–69–40;Санкт-Петербург, Кузнечный переулок, 4;cvdgroup.ru;
Ваш Советник, ООО;+7 (812) 914–97–97, +7 (812) 242–97–87, +7 (812) 740–01–23;Санкт-Петербург, Кондратьевский проспект, 68 к1 лит И;www.vsovetnik.ru;
Помогаем 24;+7 (812) 309–47–25, +7–905–223–09–22, +7–921–761–08–84;Санкт-Петербург, Верхний 2-й переулок, 13 лит А;pomogaem24.ru;
Профит;+7 (812) 907–44–76;Санкт-Петербург, Бумажная, 3;antibank78.ru;
ПРОФСПЕЦ групп, ООО;+7 (812) 629–54–33;Санкт-Петербург, Измайловский проспект, 7;профспецгрупп.рф;
Гратис Групп, ООО;+7 (812) 996–00–00;Санкт-Петербург, Садовая, 28;;
Ассоциация независимых практикующих юристов, ООО;+7 (812) 997–10–69;Санкт-Петербург, Софийская, 31;www.pravoavto.ru;
Бухгалтер и К, ООО;+7 (812) 927–71–23, +7–911–818–03–77;БЦ Мегапарк,Санкт-Петербург, Заставская, 7;www.super-konsalting.ru;
Ариадна;+7 (812) 948–54–44, +7 (812) 952–70–05;Санкт-Петербург, Белоостровская, 28;www.ariadne.ru;
Митра, ООО;+7 (812) 275–84–69, +7 (812) 275–92–43, +7 (812) 275–92–42;Санкт-Петербург, Набережная реки Фонтанки, 40;;
Юрист-Недвижимость;+7 (812) 931–30–84, +7–953–352–14–70;БЦ Пять углов,Санкт-Петербург, Разъезжая, 2;nedvizhimost-jurist.ru;
34-я юридическая консультация;+7 (812) 408–27–36;Санкт-Петербург, Боткинская, 1;;
Декстелла;+7 (812) 438–07–80, +7 (812) 600–07–80;Санкт-Петербург, Галерная, 20;dextella.ru;
Адвокатский кабинет Садиковой С.В.;+7–921–928–93–23;Санкт-Петербург, Заставская, 33ж;;
Санкт-Петербургский центр правового обеспечения;+7 (812) 576–10–60;Санкт-Петербург, Владимирский проспект, 10;;
Адвокатский кабинет Тимофеева А.А.;+7–921–420–24–83;Гостиница Октябрьская,Санкт-Петербург, Невский проспект, 118/10;адвокат-тимофеев.рф;
Московская;+7 (812) 903–99–11;Санкт-Петербург, Набережная Обводного канала, 96;;
Петербургская коллегия адвокатов №31;+7 (812) 542–29–35, +7 (812) 540–20–18;Санкт-Петербург, Кондратьевский проспект, 23;;
Credit Off;+7 (812) 407–11–63;Санкт-Петербург, Итальянская, 12 лит Ж;www.credit-off.net;
Русский Щит Северо-Запад;+7–904–605–77–77;БЦ Шереметев,Санкт-Петербург, Стачек проспект, 47 лит А;;
Резерв, ОАНО;+7 (812) 334–17–36;Санкт-Петербург, Варшавская, 9 к1;akb-rezerv.com;
Юридическая консультация №8;+7 (812) 408–56–32;Санкт-Петербург, Белорусская, 6 к2;;
Первый Поверенный;+7 (812) 309–36–34, +7 (812) 927–84–67;Санкт-Петербург, Большой проспект П.С., 7/4;perviy-poverenniy.com;
Мастер Права, ООО;+7–911–131–23–77;Санкт-Петербург, Энергетиков проспект, 9а;yuristmasterklass.ru;
ВОА-Эксперт;+7 (812) 748–15–25;Санкт-Петербург, Набережная Обводного канала, 157-159;voaexpert.ru;
Вивальди Консалт, ООО;+7 (812) 643–23–18;Санкт-Петербург, Краснопутиловская, 46 к2 лит А;vivaldiconsult.ru;
ВОА-Эксперт;+7 (812) 748–15–25;Санкт-Петербург, Фучика, 4а;voaexpert.ru;
ЛЕКС, ООО;+7 (812) 702–92–01;Санкт-Петербург, Невский проспект, 139;;
Адвокатский кабинет Кочубеева В.А.;+7 (812) 987–86–04, +7–921–446–56–10, +7–952–287–86–04;Санкт-Петербург, Набережная реки Фонтанки, 59 лит А;ak-pravo-spb.ru;
Коллегия адвокатов Подоприхина В.Е.;+7–911–927–30–31;Санкт-Петербург, Кондратьевский проспект, 15а;www.kollegius.ru;
Иммунитет;8–800–500–79–72, +7 (812) 291–47–97, +7 (812) 922–01–02;Санкт-Петербург, Комиссара Смирнова, 5/2;www.immunitet.net;
Адвокатский кабинет Хаславской О.Ю.;+7–911–937–87–01;Санкт-Петербург, Малая Балканская, 62/25;;
БизнесКонсалтинг, ООО;+7 (812) 642–42–67, +7–911–815–60–60;Санкт-Петербург, Гаврская, 2;;
ЛЮКСА, ООО;+7–985–700–85–85;Санкт-Петербург, Невский проспект, 42;luxa.ru;
ВОА-Эксперт;+7 (812) 748–15–25;Санкт-Петербург, Оптиков, 14а;voaexpert.ru;
Аристократъ, ООО;+7 (812) 448–13–68, +7–905–273–34–98, +7 (812) 313–25–16;Санкт-Петербург, Бумажная, 4;www.aristocratum.ru;
Адвокатская консультация №78;+7 (812) 766–45–98;Санкт-Петербург, Тамбовская, 13;www.your-lawyer.spb.ru;
ЮК центр 43;+7 (812) 315–16–20, +7 (812) 571–84–80;Санкт-Петербург, Гражданская, 8;legal-center43.ru;
КурортЮСТ;+7 (812) 931–65–00;БЦ Дом Мосина,Санкт-Петербург, Воскова, 4 лит А;;
Агентство по управлению бизнесом;+7 (812) 331–16–50, +7 (812) 612–31–69;Санкт-Петербург, Магнитогорская, 11;aub-spb.ru;
ЮрЭнергоСервис, ЗАО;+7 (812) 314–96–41, +7 (812) 314–98–93;БЦ НИИТМАШ,Санкт-Петербург, Караванная, 1;www.urenergoservice.ru;
Комильфо, ООО;+7 (812) 318–40–27;Санкт-Петербург, Чапаева, 25;spbkomilfo.ru;
ДевизКонсалт, ООО;+7 (812) 954–75–30;БЦ Шереметев,Санкт-Петербург, Стачек проспект, 47 лит А;deviseconsult.ru;
Партнер;+7 (812) 933–39–88;Санкт-Петербург, Большой Сампсониевский проспект, 25;urist-vspb.ru;
Согласие-Консалт, ООО;+7–965–090–84–71;Санкт-Петербург, Советская 2-я, 15;consent-consalt.ru;
Санс;+7 (812) 339–69–15;БЦ Алмаз,Санкт-Петербург, Уральская, 13 лит К;sans.ru;
ПринцепсЪ, ООО;+7–953–178–23–20;Санкт-Петербург, Зайцева, 6 к1;princeps.pro;
Невский стиль, ООО;+7 (812) 941–27–44, +7 (812) 900–56–46;Санкт-Петербург, Кантемировская, 17;yfns.ru;
ЛЕГАЛИКА;+7–904–636–66–85;Санкт-Петербург, Политехническая, 30 к2;legalika.ru;
Луч, ООО;+7 (812) 944–15–55;Санкт-Петербург, Невский проспект, 87/2;www.anluch.ru;
Верный выбор;+7–921–419–60–12;пос. Мурино, Привокзальная площадь, 1а к1;www.advospb.ru;
АТРИА, ООО;+7 (812) 920–33–14, +7 (812) 921–33–50;Санкт-Петербург, Испытателей проспект, 26;atria-spb.ru;
Юридическое бюро;+7–951–653–92–92;Санкт-Петербург, Большая Пушкарская, 35;;
Адвокат-Недвижимость;+7 (812) 741–60–05, +7 (812) 741–32–44;Санкт-Петербург, Ленина проспект, 61 к1;advocat-n.ru;
Спектр, ООО;+7 (812) 316–49–44, +7 (812) 985–24–26, +7 (812) 703–86–05;Санкт-Петербург, Красноармейская 1-я, 2 лит В;www.spektr-ohud.ru;
Магистр и Ко;+7 (812) 703–05–19;БЦ Пионер,Санкт-Петербург, Пионерская, 30;;
Адвокатский кабинет Кандаурова А.В.;+7–953–351–19–79;Санкт-Петербург, Заневский проспект, 15;a-kandaurov.ru;
ЛексПраво, ООО;;БЦ Петергофский 73,Санкт-Петербург, Петергофское шоссе, 73 лит У;;
МОЙ АУДИТ, ООО;+7–905–273–25–30, +7 (812) 920–89–78;Санкт-Петербург, Кузнецовская, 21;audit-my.ru;
Юридическая помощь;+7 (812) 408–47–96;Санкт-Петербург, Передовиков, 13 к1;;
Военно-врачебная Коллегия;8–800–775–10–56, +7 (812) 929–75–10;Санкт-Петербург, Набережная канала Грибоедова, 31;voenniy-bilet.ru;
Юридическая Фирма Поймановой, ООО;+7 (812) 310–22–96, +7–981–858–91–30;Санкт-Петербург, Набережная реки Фонтанки, 109;;
ФК ЦЕННЫЕ БУМАГИ, ООО;+7 (812) 347–74–84;ДЦ Охта,Санкт-Петербург, Ворошилова, 2;fktsb.ru;
Авангард;+7–911–098–78–32;Санкт-Петербург, Доблести, 26 к1;centre-avangard.ru;
Юридическая фирма;+7 (81371) 9–38–20, +7–921–579–24–64;Гатчина, Соборная, 4;;
Санкт-Петербургское Объединение Юристов;+7–981–988–74–75;БЦ Офис-М,Санкт-Петербург, Невский проспект, 151;;
Адвокатский кабинет Пышкина В.В.;+7–911–112–09–90, +7 (812) 344–70–70;Санкт-Петербург, Савушкина, 121 к2;;
ЮСМ, ООО;+7 (812) 712–36–97;Санкт-Петербург, Звенигородская, 22;;
Сервис-Курьер;+7–911–922–64–95, +7–911–232–62–00;Санкт-Петербург, Лиговский проспект, 43-45;;
Арзуманов Консалтинг;+7 (812) 920–07–06;Санкт-Петербург, Уральская, 17;arzumanov.ru;
Федеральная юридическая компания по защите прав заемщиков;+7 (812) 987–53–87, +7–950–22–797–22;Санкт-Петербург, Ефимова, 3а лит Д;cok24.ru;
Вадим. Колосов;+7 (812) 454–46–56;Санкт-Петербург, Невский проспект, 22-24 лит А;www.kolosov.info;
Адвокатский кабинет Шпагина Е.А.;+7–931–311–58–02;Санкт-Петербург, Марсово Поле, 3;www.shpagin-lawyer.com;
ЛЕКС ЦЕНТР;+7 (812) 922–84–81, +7 (812) 347–70–78, +7–911–026–97–72, +7–921–090–06–02;Санкт-Петербург, Косыгина проспект, 30 к2;arbitr-fns.ru;
Скампавея, ООО;+7 (812) 961–70–59;БЦ ВБП-Центр,Санкт-Петербург, Чапаева, 3;скампавея.рф;
Guard Center;8–800–505–94–86;Санкт-Петербург, Софийская, 79г;guard.center;
Бизнес Тандем, ООО;+7 (812) 909–50–20;Санкт-Петербург, Советская 3-я, 9;businesstandem.ru;
Экспертная Бухгалтерская Служба, ООО;+7 (812) 925–03–26, +7 (812) 648–02–72, +7 (812) 454–06–15;БЦ Левашовский,Санкт-Петербург, Левашовский проспект, 12;www.buxexpert.ru;
Юрфирм, ООО;+7–921–916–47–07;БЦ Демос,Санкт-Петербург, Пулковское шоссе, 30 к4;;
31-я адвокатская консультация Санкт-Петербурга;+7 (812) 627–61–13;Санкт-Петербург, Большая Пороховская, 12;;
БУКЕРС ПРО, ООО;+7 (812) 982–62–29;Санкт-Петербург;bookers.pro;
РС Консалт;+7–911–914–99–06, +7 (812) 575–08–89;ДЦ Партнёрство,Санкт-Петербург, Красноармейская 7-я, 25;www.rsk-ins.ru;
Мусин и партнеры;+7 (812) 232–22–97, +7 (812) 233–81–09;Санкт-Петербург, Рентгена, 23;mipar.ru;
ИнтеллектуалЪ;+7 (812) 961–07–17;Санкт-Петербург, Бассейная, 21;9610717.ru;
Худяков и Партнеры;+7 (812) 995–29–23;Санкт-Петербург, Кузнецовская, 21;www.ka-hp.ru;
Союз поддержки бизнеса, ООО;+7 (812) 340–78–18, +7 (812) 955–05–71;БЦ Finderent,Санкт-Петербург, Аптекарская набережная, 12;souzhelp.ru;
Всё Учтено;+7 (812) 643–99–03, +7 (812) 643–99–01;Санкт-Петербург, Коломяжский проспект, 33 к2;;
Адвокатский кабинет Надежницкого А.А.;+7–905–222–92–68;Санкт-Петербург, Новаторов бульвар, 1;spb-aspect.ru;
Адвокатская контора Крыловой А.В.;+7–921–183–78–78;Санкт-Петербург, Ульяны Громовой переулок, 4;advokat-online.su;
Преображенское, ООО;+7 (812) 329–55–19;Санкт-Петербург, Радищева, 39 лит В;www.ubp.spb.ru;
София;+7 (812) 608–09–09, +7–999–213–88–88;Санкт-Петербург, Фурштатская, 17;Ansofia.ru;
Очаг, ООО;+7 (812) 980–90–17, +7 (812) 980–07–84;Отель Москва,Санкт-Петербург, Александра Невского площадь, 2;nds15.ru;
Первая Гатчинская коллегия адвокатов;+7 (81371) 7–66–39;Гатчина, Карла Маркса, 40а;;
Адвена;+7–921–879–65–23;Санкт-Петербург, Кондратьевский проспект, 64 к9;;
Адвокатский кабинет Лябихова С.М.;+7 (812) 973–96–86;Санкт-Петербург, Пражская, 21;www.advokata.spb.ru;
Союз СПб, ООО;+7 (812) 575–86–02, +7 (812) 642–51–73, +7 (812) 764–87–78, +7 (812) 973–93–39;Санкт-Петербург, Пушкинская, 13;www.spb-neva.ru;
Ваше право;+7–921–899–91–97, +7 (812) 988–30–86;Санкт-Петербург, Красноармейская 6-я, 1;;
Успешный старт;+7 (812) 980–38–49;Санкт-Петербург, Энгельса проспект, 133 к1;gutstart.ru;
Витрувий;+7 (812) 988–72–61;Санкт-Петербург, Обуховской Обороны проспект, 114;legalvitruvio.ru;
Юридическая фирма;+7–911–019–48–79, +7–921–575–47–01;ТЦ Лидер,Санкт-Петербург, Гаккелевская, 34;pravo-help-spb.ru;
Бизнесконсалтинг, ООО;+7 (812) 575–80–07, +7–921–439–78–71;Санкт-Петербург, Рубинштейна, 26;bconsulting.spb.ru;
Центр Регист;+7 (812) 438–56–86;БЦ Офис-М,Санкт-Петербург, Невский проспект, 151;www.registlegal.ru;
Санкт-Петербург;+7 (812) 450–67–44;Санкт-Петербург, Санкт-Петербургский проспект, 12;mka-spb.ru;
Золотой Луч;+7 (812) 907–27–48, +7–911–917–07–01;д. Колтуши, Колтушское шоссе, 5а;fadeevda.ru;
Быстрое Решение;+7 (812) 981–40–73;Санкт-Петербург, Туристская, 18 к1;www.fast-law.ru;
Результат;+7–964–365–69–97;Санкт-Петербург, Невский проспект, 87;;
Legal Company;+7 (812) 920–07–97;Санкт-Петербург, Свердловская набережная, 58 лит А;lcompany.ru;
Ю-АССИСТЕНТ, ООО;+7 (812) 941–50–75, +7 (812) 578–12–91;Санкт-Петербург, Лиговский проспект, 43-45;;
Санкт-Петербургская коллегия адвокатов им. Ф.Н. Плевако;+7 (812) 717–25–57;Санкт-Петербург, Полтавская, 5;spka-plevako.ru;
ПРАВО ПИТЕР;+7–921–443–08–95;Санкт-Петербург, Лиговский проспект, 43-45;pravopiter.ru;
Адвокатская консультация №12;+7 (812) 645–17–43;ТЦ Балканский 3,Санкт-Петербург, Балканская площадь, 5 лит Я;;
Адвокатская коллегия Канцеровой М.С.;+7–903–095–79–79, +7 (812) 946–21–17;Санкт-Петербург, 11-я линия В.О., 24;;
Первая Юридическая Компания, ООО;+7 (812) 926–49–27;Санкт-Петербург, Автовская, 16;1-kom.ru;
Успех;+7–921–310–20–35;Санкт-Петербург, Манежный переулок, 10;www.uspex-okc.spb.ru;
Риэлти Бизнес Консалтинг, ООО;+7 (812) 633–35–74, +7–921–389–37–27;Санкт-Петербург, Набережная реки Смоленки, 25;www.lfrbc.ru;
БЮРО, ООО;+7–950–022–46–50;Санкт-Петербург, Гаврская, 8;buro2b.ru;
АПЕК;+7 (812) 910–85–91, +7 (812) 513–36–00;Санкт-Петербург, Энгельса проспект, 130 к1;www.apek-spb.ru;
Зеленогорский;+7–911–181–00–27, +7 (812) 433–53–24;Санкт-Петербург, Ленина проспект, 25;www.law-center.spb.ru;
ЛИГАПРОФ;+7 (812) 448–70–06, +7–981–158–53–11;БЦ Софийская 14,Санкт-Петербург, Софийская, 14;;
Адвокатский кабинет Зайцева А.В.;+7–921–637–22–84, +7–904–630–69–50;ТОЦ Измайловский Гостиный Двор,Санкт-Петербург, Красноармейская 1-я, 15;уголовный-адвокат-зайцев.рф;
Бушуров;+7 (812) 946–70–93;Санкт-Петербург, Индустриальный проспект, 23;www.bushurov.ru;
Всевреестр;+7–911–037–00–03;Всеволожск, Дорога Жизни шоссе, 22;www.vsevreestr.ru;
Эверест;+7–911–995–69–11;Санкт-Петербург, Каменноостровский проспект, 15;;
Экида, ООО;+7 (812) 317–96–44, +7 (812) 317–87–42, +7 (812) 316–74–15;Санкт-Петербург, Красноармейская 5-я, 3а;www.ekidaspb.ru;
Lecap;+7–911–931–42–61;Санкт-Петербург, Невский проспект, 22;;
Адвокатская консультация №98;+7–921–955–54–52;Санкт-Петербург, Пушкинская, 13;;
Адвокатский кабинет Люкшина А.М.;+7 (812) 912–73–29;Санкт-Петербург, Владимирский проспект, 3;;
Адвокатская консультация №36;+7 (812) 430–75–61;Санкт-Петербург, Сестрорецкая, 4;;
Ваш юрист;+7 (812) 953–92–23;Санкт-Петербург, Авангардная, 13;www.yourlawyer.spb.ru;
Юридический Петербург;+7 (812) 931–86–57;Санкт-Петербург, Набережная Обводного канала, 96 лит А;jurpeterburg.ru;
Закон и Порядок, ООО;+7 (812) 923–59–30, +7–921–886–06–19;Санкт-Петербург, Стачек проспект, 12;;
Северо-Запад Магистраль;+7–953–350–69–39;Санкт-Петербург, Сизова проспект, 15;9533506939.ru;
51-я юридическая консультация Санкт-Петербурга;+7 (812) 408–34–91;Санкт-Петербург, Торфяная дорога, 7Б;;
Адвокатская консультация;+7–921–746–39–50, +7 (81361) 2–42–74, +7–921–185–39–99;Тосно, Ленина проспект, 52;;
Общество защиты прав дольщиков;+7 (812) 911–09–09;Санкт-Петербург, Шпалерная, 7;www.pravo.org;
Галтом-Консалт, ООО;+7 (812) 677–03–19, +7 (812) 677–03–86;ТРК Заневский каскад 3,Санкт-Петербург, Заневский проспект, 71 к2 лит А;;
Адвокатский кабинет Галаева К.К.;+7 (812) 943–57–13;Санкт-Петербург, Энгельса проспект, 32;;
Независимый Центр Лицензирования, ООО;8–800–775–35–97;Санкт-Петербург, Грибакиных, 25 к3;best-sro.ru;
Адвокатский кабинет Максимова М.Н.;+7–911–977–79–97;Санкт-Петербург, Оптиков, 52 к1;advokat-maksimov.ru;
Адвокатский кабинет Шишкина А.А.;+7–981–777–71–85, +7–921–185–65–05;Санкт-Петербург, Набережная канала Грибоедова, 57;adv-spb.ru;
Адвокатский кабинет Истратова К.В.;+7–904–550–22–44;Санкт-Петербург, Димитрова, 16 к3;;
Медный всадник;+7–921–918–00–01;Санкт-Петербург, Ленинский проспект, 159 лит А;;
Гражданское дело;+7 (812) 702–33–21;ТРК  Гулливер,Санкт-Петербург, Торфяная дорога, 7 лит А;www.grdelo.ru;
АвтоюрисТ;+7 (812) 389–45–06;Санкт-Петербург, Роменская, 10а;www.avtourist.info;
АНТИколлектор;+7 (812) 992–05–41;Санкт-Петербург, 5-я линия В.О., 54;anticollector-spb.ru;
Центр финансовых экспертиз, ООО;+7 (812) 920–12–14, +7 (812) 382–10–00;Санкт-Петербург, Предпортовый 5-й проезд, 12 к2;www.fineks.org;
Служба Детективных Расследований им. И.Д. Путилина;+7–931–966–88–38, +7–911–701–27–20;Санкт-Петербург, Средний проспект В.О., 100;fsb.com.ru;
Consulting Group;+7 (812) 347–47–58;Санкт-Петербург, Большая Пушкарская, 41;cgspb.ru;
НАСТОЯЩИЙ ЮРИСТ, ООО;+7 (812) 906–78–32, +7–921–906–78–32;Санкт-Петербург, Аннинское шоссе, 26а;real-ls.ru;
Адвокатский кабинет Малышева И.С.;+7 (81371) 9–24–25, +7–911–295–05–33;Гатчина, Соборная, 12;;
Дейта Консалтинг;+7–911–924–74–22, +7–911–773–35–69;Санкт-Петербург, Советская 8-я, 48;www.deitaspb.ru;
Атис, ООО;+7 (812) 579–80–65;Санкт-Петербург, Моховая, 31;atis-consult.ru;
Адвокатский кабинет Лемешева Ф.С.;+7–901–373–49–56, +7 (812) 973–49–56, +7–965–078–43–56;Санкт-Петербург, Большевиков проспект, 38 к2;;
Юридическая Лаборатория, ООО;+7–911–190–57–20, +7–911–292–19–82;Санкт-Петербург, Захарьевская, 12;urgruppa.ru;
Брейтман Право, ООО;+7–952–392–96–28, +7–981–863–76–41, +7–951–673–24–47;Санкт-Петербург, Лиговский проспект, 52 лит З;;
Бизнес-Эксперт Консалтинг;+7 (812) 329–48–02, +7 (812) 329–48–03;Санкт-Петербург, 1-я линия В.О., 48;прозрачныйзакон.рф;
ИСТИНА-М, ООО;+7 (812) 904–21–75;Санкт-Петербург, Радищева, 21;;
Адвокат;+7 (812) 652–00–00, +7 (812) 294–17–18;Санкт-Петербург, 11-я линия В.О., 32;advokat-gorichev.ru;
АЙРЭЙТ;+7 (812) 964–36–33;Гостиница Октябрьская,Санкт-Петербург, Лиговский проспект, 10;www.irategroup.ru;
Адвокатский кабинет Филипповой О.А.;+7–965–777–63–53;Санкт-Петербург, Юрия Гагарина проспект, 28 к1;www.9111.ru;
Адвокатский кабинет Полежаев С.В.;+7–921–903–09–28;Санкт-Петербург, 12-я линия В.О., 7;advokat-polezhaev.ru;
Легко для бизнеса, ООО;+7–921–958–44–01, +7 (812) 363–07–97;Санкт-Петербург, Заставская, 33ж;lite2b.ru;
Berlov Group;+7 (812) 275–70–75, +7 (812) 710–28–54, +7–911–999–02–82;Санкт-Петербург, Моисеенко, 3/14;www.berlov-group.ru;
ЛексПраво, ООО;;Санкт-Петербург, Садовая, 51;;
Экспертный консалтинг;+7 (812) 702–60–30;Санкт-Петербург, Канонерская, 7-9;www.expert-consult.su;
Sun Life;+7 (812) 385–00–89, +7–921–353–17–72;Санкт-Петербург, Тореза проспект, 98 к1;www.sunlifespb.ru;
Агентство ВЕГА, ЗАО;+7 (812) 717–26–55;Санкт-Петербург, Гончарная, 29;www.agency-vega.ru;
Ученый кот;+7 (812) 909–50–64, +7–931–293–59–42, +7–952–391–30–66, +7–960–232–32–81;БЦ Большой 100,Санкт-Петербург, Большой проспект П.С., 100;;
Альянс;+7 (812) 963–77–24, +7–981–731–54–47, +7–921–380–09–03, +7–921–963–77–24;Санкт-Петербург, Крылова переулок, 7;;
Единый центр автоэкспертиз;+7 (812) 956–35–43;Санкт-Петербург, Ватутина, 17;;
Адвокатский кабинет Лепина О.И.;+7–911–176–75–67;Санкт-Петербург, Малая Морская, 9;oleglepin.ru;
Фрезе и Партнёры, ООО;+7 (812) 777–28–08;Санкт-Петербург, Некрасова, 11;fpartners.ru;
Адвокатский кабинет Минасян А.Р.;+7–921–315–19–77;ДЦ Магистраль,Санкт-Петербург, Днепропетровская, 33;;
Идея;+7–964–324–84–09, +7 (812) 987–64–28;Санкт-Петербург, Фурштатская, 32;ideaspb.ru;
Реал;+7 (812) 325–09–11;Санкт-Петербург, 11-я линия В.О., 32/44;;
Альф-Универсал, ООО;+7–931–250–57–75, +7–931–971–60–00;БЦ Биржа,Санкт-Петербург, 26-я линия В.О., 15 к2;yuridic.ru;
ЮР-Эксперт СРО, ООО;+7 (812) 939–56–15;Санкт-Петербург, Тамбасова, 12;srovspb.com;
Межрегиональная экономическо-правовая коллегия, ООО;+7 (812) 327–15–04, +7 (812) 327–15–84;Санкт-Петербург, Будапештская, 72 к1;www.urist-a.ru;
Юридическая консультация №15;+7 (812) 649–04–72;Санкт-Петербург, Караваевская, 26 к1;;
Эйбиджи групп, ООО;+7 (812) 424–19–19;Санкт-Петербург, Большой Смоленский проспект, 30 к2;abgg.ru;
IAPD;+7 (812) 715–15–08, +7–901–315–15–08, +7–921–423–02–20, +7–921–423–20–02;Санкт-Петербург, Решетникова, 17 к2;iapd.info;
Салего Корпорация, ООО;+7 (812) 920–89–43;Санкт-Петербург, Загородный проспект, 9;спор.салего.рф;
ПРОМ-ИНВЕСТ-АУДИТ, ООО;+7 (812) 297–45–01, +7 (812) 292–90–70, +7 (812) 297–55–98;Санкт-Петербург, Политехническая, 24;www.pia.ru;
Ваш адвокат;+7–931–343–70–68;Санкт-Петербург, Московский проспект, 206;;
Павия и Ансальдо, ООО;+7 (812) 332–31–28;Санкт-Петербург, Итальянская, 17;;
Лекселленс;+7–921–758–18–77;Санкт-Петербург, Лахтинский проспект, 113;www.pravosnami.ru;
